canonicalName	genus	obs_FI	obs_NO	genusKey	speciesKey	count_FI_60N	count_NO_60N	count_FI_66N	count_NO_66N
actinotaenium cruciferum	actinotaenium	0	106	2649739	2649810	0	56	0	0
actinotaenium cucurbita	actinotaenium	2	4	2649739	9190445	2	0	0	0
actinotaenium curtum	actinotaenium	0	9	2649739	2649801	0	0	0	0
actinotaenium phymatosporum	actinotaenium	0	12	2649739	2649778	0	4	0	0
actinotaenium turgidum	actinotaenium	3	0	2649739	7963020	2	0	0	0
acutodesmus spec	tetradesmus	3	35	2640932	12380340	1	3	0	0
adenonema petraeum	adenonema	3	5	7267495	3811257	0	0	0	0
adenophora liliifolia	adenophora	0	5	3161042	5409500	0	5	0	0
adenophora pereskiifolia	adenophora	0	2	3161042	8603605	0	2	0	0
adenophora stricta	adenophora	0	2	3161042	5409371	0	2	0	0
adenophora triphylla	adenophora	0	6	3161042	5409255	0	6	0	0
adonis aestivalis	adonis	7	0	3033821	5371707	7	0	0	0
adonis annua	adonis	2	8	3033821	5371709	2	3	0	0
adonis vernalis	adonis	3	8	3033821	5371711	2	5	0	0
adoxa moschatellina	adoxa	1356	2167	2888793	2888794	1258	901	208	73
aegagropila linnaei	aegagropila	3454	2	2644622	5272847	3358	0	1	0
aegilops cylindrica	aegilops	71	27	2703501	5289783	61	1	0	0
aegopodium podagraria	aegopodium	28455	13032	3034619	3034620	28202	3780	81	742
aesculus californica	aesculus	0	3	3189801	3189813	0	3	0	0
aesculus flava	aesculus	0	2	3189801	3189824	0	1	0	0
aesculus hippocastanum	aesculus	312	1565	3189801	3189815	305	329	0	3
aesculus longipedunculus	aesculus	0	11	3189801	11180680	0	0	0	0
aesculus parviflora	aesculus	0	3	3189801	3189828	0	3	0	0
aethusa cynapium	aethusa	1397	1385	3034624	5371825	1332	163	0	0
agastache foeniculum	agastache	11	29	2926389	2926406	11	29	0	0
agastache nepetoides	agastache	0	2	2926389	2926408	0	2	0	0
agastache rugosa	agastache	3	26	2926389	7307327	0	16	0	0
agastache urticifolia	agastache	7	14	2926389	2926403	7	6	0	0
agastache wrightii	agastache	0	2	2926389	2926400	0	2	0	0
agathis australis	agathis	0	2	2685008	5284415	0	2	0	0
agave americana	agave	0	3	2766430	2767031	0	3	0	0
agave angustifolia	agave	3	0	2766430	2766846	0	0	0	0
agave filifera	agave	0	3	2766430	2766601	0	3	0	0
agave parryi	agave	0	4	2766430	2766905	0	4	0	0
ageratina altissima	ageratina	0	3	5400194	5400552	0	0	0	0
ageratum houstonianum	ageratum	10	4	3138550	5401760	7	1	0	0
aglaothamnion bipinnatum	aglaothamnion	0	14	2656877	2656977	0	12	0	1
aglaothamnion tenuissimum	aglaothamnion	0	41	2656877	2656888	0	21	0	0
agoseris grandiflora	agoseris	0	2	3092887	3092909	0	2	0	0
agrimonia eupatoria	agrimonia	1368	3612	3001953	3001956	1086	631	0	0
agrimonia pilosa	agrimonia	987	5	3001953	3002003	964	3	0	0
agrimonia procera	agrimonia	103	575	3001953	3002121	42	62	0	0
agrimonia repens	agrimonia	0	8	3001953	3001978	0	4	0	0
agropyron cristatum	agropyron	58	15	2705193	2705196	52	1	0	0
agropyron desertorum	agropyron	18	0	2705193	2705200	18	0	0	0
agropyron violaceum	agropyron	1	1	2705193	7544801	0	2	0	1
agrostemma brachyloba	agrostemma	0	11	3085365	3085366	0	2	0	0
agrostemma githago	agrostemma	952	475	3085365	3085368	861	130	13	12
agrostis alba	agrostis	7	8	2706434	8376843	5	0	1	0
agrostis alpina	agrostis	3	3	2706434	8279707	3	0	3	0
agrostis canina	agrostis	15033	8192	2706434	2706465	14664	3804	355	259
agrostis capillaris	agrostis	44661	30149	2706434	2706490	43560	16066	4477	2894
agrostis castellana	agrostis	25	1	2706434	2706501	24	0	0	0
agrostis clavata	agrostis	682	13	2706434	2706467	621	5	61	1
agrostis exarata	agrostis	0	3	2706434	2706526	0	0	0	0
agrostis gigantea	agrostis	6881	2341	2706434	2706541	6677	896	454	144
agrostis mertensii	agrostis	8504	6280	2706434	2706518	8410	5345	7777	1827
agrostis meyenii	agrostis	0	5	2706434	5827744	0	0	0	0
agrostis perennans	agrostis	7	1	2706434	2706477	4	0	0	0
agrostis pourretii	agrostis	4	0	2706434	4118280	4	0	0	0
agrostis rubra	agrostis	1	35	2706434	8014355	0	1	1	0
agrostis rupestris	agrostis	0	7	2706434	2706525	0	0	0	0
agrostis scabra	agrostis	199	5	2706434	2706444	191	0	13	0
agrostis stolonifera	agrostis	11889	9104	2706434	2706435	11117	4402	886	1428
agrostis subspicata	agrostis	2	0	2706434	4115706	2	0	0	0
agrostis vinealis	agrostis	2589	2356	2706434	2706458	2343	741	270	349
ahnfeltia plicata	ahnfeltia	1	658	2663808	2663815	0	292	0	45
ailanthus altissima	ailanthus	0	6	3190652	3190653	0	3	0	0
aira caryophyllea	aira	1	61	2702432	7747216	1	0	0	0
aira elegans	aira	4	0	2702432	7948459	3	0	0	0
aira praecox	aira	8	2018	2702432	5289582	0	548	0	0
ajuga genevensis	ajuga	26	25	2927077	2927079	26	14	0	0
ajuga pyramidalis	ajuga	1272	12745	2927077	8429926	1182	5921	0	615
ajuga reptans	ajuga	471	821	2927077	2927078	409	249	0	3
akebia quinata	akebia	2	22	8216970	3033965	0	22	0	0
akebia trifoliata	akebia	0	3	8216970	7306109	0	3	0	0
albizia julibrissin	albizia	0	2	2972897	2972983	0	2	0	0
alcea rosea	alcea	9	89	5406788	5406789	9	11	0	0
alcea setosa	alcea	0	6	5406788	5617456	0	0	0	0
alchemilla acutidens	alchemilla	14	34	3027437	9063184	7	10	0	9
alchemilla alpigena	alchemilla	2	11	3027437	3027980	0	1	0	0
alchemilla alpina	alchemilla	312	20593	3027437	3027648	292	15919	286	3352
alchemilla auriculata	alchemilla	21	0	3027437	3027881	21	0	0	0
alchemilla baltica	alchemilla	660	23	3027437	3027531	607	15	9	6
alchemilla borealis	alchemilla	192	112	3027437	3027748	185	88	185	79
alchemilla cymatophylla	alchemilla	53	50	3027437	3027997	53	10	0	2
alchemilla erythropoda	alchemilla	0	2	3027437	9034633	0	2	0	0
alchemilla faeroensis	alchemilla	0	70	3027437	3027563	0	68	0	1
alchemilla filicaulis	alchemilla	2147	3804	3027437	3027485	1977	2155	62	619
alchemilla frigens	alchemilla	0	3	3027437	7449625	0	0	0	0
alchemilla gibberulosa	alchemilla	5	0	3027437	3028175	5	0	0	0
alchemilla glabra	alchemilla	799	7585	3027437	3027640	767	4569	11	368
alchemilla glabricaulis	alchemilla	98	2	3027437	3028469	88	0	0	0
alchemilla glaucescens	alchemilla	1438	3473	3027437	3027452	1255	1467	10	63
alchemilla glomerulans	alchemilla	3093	4684	3027437	3028402	3034	4039	2540	1552
alchemilla heptagona	alchemilla	59	11	3027437	3028123	58	8	0	8
alchemilla hirsuticaulis	alchemilla	551	1	3027437	3028921	478	0	0	0
alchemilla hybrida	alchemilla	4	0	3027437	8292353	1	0	0	0
alchemilla kolaensis	alchemilla	1	0	3027437	3028542	1	0	1	0
alchemilla leiophylla	alchemilla	52	0	3027437	3028596	49	0	0	0
alchemilla micans	alchemilla	2703	1769	3027437	3027791	2584	385	63	35
alchemilla minor	alchemilla	2	1	3027437	8309402	1	0	0	0
alchemilla mollis	alchemilla	117	579	3027437	3028528	116	220	2	81
alchemilla monticola	alchemilla	14409	3044	3027437	3028763	13930	1578	200	197
alchemilla murbeckiana	alchemilla	1578	1994	3027437	3028604	1517	1431	1096	650
alchemilla norvegica	alchemilla	0	431	3027437	8417432	0	278	0	52
alchemilla obtusa	alchemilla	31	3	3027437	3028609	10	0	0	0
alchemilla oleosa	alchemilla	0	30	3027437	7582458	0	9	0	0
alchemilla oxyodonta	alchemilla	0	76	3027437	7660935	0	43	0	21
alchemilla palii	alchemilla	0	19	3027437	3027847	0	7	0	4
alchemilla parcipila	alchemilla	10	0	3027437	3028492	10	0	0	0
alchemilla plicata	alchemilla	684	86	3027437	3027653	599	5	4	0
alchemilla polemochora	alchemilla	4	0	3027437	3028293	3	0	0	0
alchemilla pratensis	alchemilla	0	6	3027437	3027505	0	0	0	0
alchemilla propinqua	alchemilla	236	267	3027437	3027751	224	142	6	1
alchemilla samuelssonii	alchemilla	696	0	3027437	7543534	599	0	0	0
alchemilla sarmatica	alchemilla	344	11	3027437	3028392	303	2	6	0
alchemilla saxatilis	alchemilla	1	1	3027437	3028162	0	1	0	0
alchemilla semidivisa	alchemilla	0	448	3027437	3028534	0	442	0	0
alchemilla semilunaris	alchemilla	97	16	3027437	3028052	94	10	0	10
alchemilla sergii	alchemilla	2	0	3027437	3028154	2	0	0	0
alchemilla spec	alchemilla	0	47	3027437	12034621	0	42	0	8
alchemilla speciosa	alchemilla	0	19	3027437	3028148	0	2	0	0
alchemilla stellaris	alchemilla	2	0	3027437	3027895	2	0	0	0
alchemilla straminea	alchemilla	14	0	3027437	3028171	14	0	0	0
alchemilla strigosula	alchemilla	1	4	3027437	9630454	0	0	0	0
alchemilla subcrenata	alchemilla	9976	3459	3027437	3028176	9798	2160	393	566
alchemilla subglobosa	alchemilla	2	254	3027437	7350401	1	209	0	2
alchemilla taernaensis	alchemilla	0	9	3027437	3027482	0	9	0	6
alchemilla vulgaris	alchemilla	10001	1883	3027437	7890713	9699	991	118	52
alchemilla wichurae	alchemilla	254	5166	3027437	3027538	228	3951	126	1661
alchemilla xanthochlora	alchemilla	65	293	3027437	3028198	64	245	2	8
alisma gramineum	alisma	11	0	2865099	2865152	1	0	0	0
alisma lanceolatum	alisma	0	4	2865099	2865125	0	4	0	0
alisma plantago-aquatica	alisma	15362	3822	2865099	2865100	15148	753	220	0
alisma wahlenbergii	alisma	5583	0	2865099	2865134	5508	0	0	0
alkekengi officinarum	alkekengi	69	82	7299176	3797084	65	9	0	0
alleniella besseri	alleniella	303	261	7472500	7717578	287	144	1	0
alleniella complanata	alleniella	1742	1987	7472500	8232782	1678	752	136	32
alliaria petiolata	alliaria	4257	4055	3050645	5376075	4161	573	0	12
allium acuminatum	allium	0	13	9624496	2856154	0	13	0	0
allium acutiflorum	allium	0	2	9624496	2855961	0	2	0	0
allium aflatunense	allium	0	15	9624496	2857779	0	11	0	0
allium akaka	allium	0	2	9624496	2857665	0	2	0	0
allium albidum	allium	0	11	9624496	7481944	0	11	0	0
allium altaicum	allium	0	24	9624496	2856860	0	23	0	0
allium altissimum	allium	0	19	9624496	2856834	0	19	0	0
allium amethystinum	allium	0	2	9624496	2856624	0	2	0	0
allium ampeloprasum	allium	1	88	9624496	2856037	1	73	0	0
allium amphibolum	allium	0	13	9624496	2857961	0	13	0	0
allium angulosum	allium	18	23	9624496	2855717	17	16	0	0
allium ascalonicum	allium	99	49	9624496	2856558	0	0	0	0
allium atropurpureum	allium	1	2	9624496	2856009	1	2	0	0
allium atrosanguineum	allium	0	8	9624496	2855771	0	8	0	0
allium atroviolaceum	allium	0	11	9624496	2857640	0	11	0	0
allium backhousianum	allium	0	2	9624496	2857416	0	2	0	0
allium barsczewskii	allium	0	2	9624496	2857147	0	2	0	0
allium beesianum	allium	0	11	9624496	2856851	0	11	0	0
allium brevistylum	allium	0	4	9624496	2857512	0	4	0	0
allium caeruleum	allium	3	15	9624496	2856061	3	12	0	0
allium caesium	allium	0	3	9624496	2857092	0	3	0	0
allium candolleanum	allium	0	2	9624496	2856296	0	2	0	0
allium carinatum	allium	1	26	9624496	2855968	1	20	0	1
allium carolinianum	allium	0	22	9624496	8410853	0	22	0	0
allium cepa	allium	173	184	9624496	2857697	9	103	0	1
allium cernuum	allium	0	92	9624496	2856745	0	91	0	0
allium chinense	allium	0	5	9624496	2856307	0	5	0	0
allium colchicifolium	allium	0	2	9624496	2856189	0	2	0	0
allium coloratum	allium	0	40	9624496	8060333	0	35	0	0
allium cornutum	allium	0	12	9624496	2857509	0	12	0	0
allium cristophii	allium	1	6	9624496	2856780	1	5	0	0
allium cyaneum	allium	0	6	9624496	2856657	0	6	0	0
allium delicatulum	allium	0	3	9624496	2857948	0	3	0	0
allium douglasii	allium	0	18	9624496	2856994	0	18	0	0
allium ericetorum	allium	0	16	9624496	2855733	0	16	0	0
allium farreri	allium	0	9	9624496	2856583	0	5	0	0
allium fetisowii	allium	0	2	9624496	2857062	0	2	0	0
allium fistulosum	allium	6	364	9624496	2856504	1	214	0	0
allium flavum	allium	0	29	9624496	2856261	0	28	0	0
allium forrestii	allium	0	3	9624496	2857759	0	3	0	0
allium galanthum	allium	0	9	9624496	2857294	0	8	0	0
allium giganteum	allium	4	6	9624496	2857111	4	6	0	0
allium gomphrenoides	allium	0	2	9624496	2857871	0	2	0	0
allium heldreichii	allium	0	15	9624496	2857484	0	15	0	0
allium hollandicum	allium	12	33	9624496	2856920	12	15	0	0
allium hookeri	allium	0	13	9624496	2856878	0	13	0	0
allium humile	allium	0	12	9624496	2856650	0	12	0	0
allium hymenorhizum	allium	1	23	9624496	2856546	0	23	0	0
allium insubricum	allium	0	15	9624496	2855731	0	15	0	0
allium jesdianum	allium	0	19	9624496	2857245	0	19	0	0
allium karataviense	allium	0	35	9624496	2856891	0	34	0	0
allium kermesinum	allium	0	4	9624496	2856656	0	4	0	0
allium korolkowii	allium	0	4	9624496	2856167	0	4	0	0
allium ledebourianum	allium	0	8	9624496	4928337	0	8	0	0
allium libani	allium	0	2	9624496	2856754	0	2	0	0
allium lineare	allium	3	1	9624496	2856148	0	1	0	0
allium lusitanicum	allium	0	105	9624496	2855705	0	16	0	0
allium macleanii	allium	0	4	9624496	2857679	0	4	0	0
allium macranthum	allium	0	30	9624496	2857661	0	30	0	0
allium mairei	allium	0	5	9624496	2857326	0	5	0	0
allium maximowiczii	allium	0	9	9624496	2856527	0	9	0	0
allium moly	allium	4	20	9624496	2855825	3	17	0	0
allium narcissiflorum	allium	0	7	9624496	2856400	0	7	0	0
allium nevii	allium	0	3	9624496	2855922	0	3	0	0
allium nevskianum	allium	0	3	9624496	2855769	0	3	0	0
allium nigrum	allium	0	6	9624496	2855823	0	4	0	0
allium nutans	allium	0	71	9624496	2857498	0	62	0	0
allium obliquum	allium	0	22	9624496	2857444	0	21	0	0
allium ochotense	allium	2	37	9624496	2857267	2	37	0	0
allium odorum	allium	3	0	9624496	9067948	3	0	0	0
allium oleraceum	allium	2547	3182	9624496	2857071	2244	1618	0	547
allium oreophilum	allium	9	11	9624496	2856614	8	10	0	0
allium oschaninii	allium	0	8	9624496	2856370	0	8	0	0
allium ovalifolium	allium	0	4	9624496	2856234	0	4	0	0
allium pallasii	allium	0	4	9624496	2855934	0	4	0	0
allium paniculatum	allium	0	18	9624496	2856288	0	18	0	0
allium paradoxum	allium	0	22	9624496	2857017	0	21	0	0
allium platycaule	allium	0	2	9624496	2857767	0	2	0	0
allium ponticum	allium	0	2	9624496	2857262	0	2	0	0
allium prattii	allium	0	6	9624496	2856910	0	6	0	0
allium proliferum	allium	0	76	9624496	3697844	0	72	0	1
allium pskemense	allium	0	18	9624496	2856107	0	18	0	0
allium pyrenaicum	allium	0	3	9624496	2857748	0	3	0	0
allium quercetorum	allium	0	2	9624496	12208188	0	2	0	0
allium ramosum	allium	0	24	9624496	2857449	0	22	0	0
allium rosenbachianum	allium	0	12	9624496	2856596	0	12	0	0
allium roseum	allium	1	6	9624496	2855893	1	5	0	0
allium rotundum	allium	11	37	9624496	2855963	10	26	0	0
allium rubens	allium	0	5	9624496	12174744	0	5	0	0
allium rupestre	allium	0	5	9624496	2856455	0	5	0	0
allium sardoum	allium	0	3	9624496	2857930	0	3	0	0
allium sativum	allium	27	165	9624496	2856681	3	161	0	1
allium saxatile	allium	0	3	9624496	2855937	0	3	0	0
allium schoenoprasum	allium	6119	3307	9624496	2855860	5067	1401	183	1109
allium schubertii	allium	0	7	9624496	2857583	0	7	0	0
allium scilloides	allium	0	2	9624496	2857514	0	2	0	0
allium scorodoprasum	allium	294	536	9624496	9177060	179	102	0	4
allium senescens	allium	6	37	9624496	2855719	1	32	0	0
allium siculum	allium	0	2	9624496	2856204	0	1	0	0
allium sikkimense	allium	0	12	9624496	2856139	0	12	0	0
allium simillimum	allium	0	2	9624496	2856005	0	2	0	0
allium sphaerocephalon	allium	1	15	9624496	2857616	0	14	0	0
allium splendens	allium	0	12	9624496	2857128	0	12	0	0
allium stellatum	allium	0	11	9624496	2856866	0	11	0	0
allium strictum	allium	20	10	9624496	2856145	3	8	0	0
allium subhirsutum	allium	0	2	9624496	2855683	0	2	0	0
allium suworowii	allium	0	6	9624496	2857219	0	6	0	0
allium thunbergii	allium	0	26	9624496	2857811	0	26	0	0
allium togashii	allium	0	6	9624496	2857582	0	6	0	0
allium tricoccum	allium	0	11	9624496	2856301	0	11	0	0
allium triquetrum	allium	0	5	9624496	2856457	0	5	0	0
allium truncatum	allium	0	2	9624496	2856540	0	2	0	0
allium tuberosum	allium	0	49	9624496	2856297	0	47	0	0
allium tulipifolium	allium	0	2	9624496	2856180	0	2	0	0
